id_cliente,idade,saldo_atual,divida_atual,renda_anual,valor_em_investimentos,taxa_utilizacao_credito,num_emprestimos,num_contas_bancarias,num_cartoes_credito,dias_atraso_dt_venc,num_pgtos_atrasados,num_consultas_credito,taxa_juros,investe_exterior,pessoa_polit_exp,limite_adicional
1767,21,278.1720081202462,2577.05,24196.89636,104.30654444831347,31.03876291279521,6,5,7,21,14,9,15,Não,Não,Negar
11920,40,268.87415244702896,2465.39,19227.37796,69.8587781006193,36.917093411002384,5,8,5,40,23,10,18,Não,Não,Negar
8910,36,446.6431266851657,1055.29,42822.28223,134.20147774873143,34.56171415546609,0,3,6,26,13,3,15,Sim,Não,Negar
4964,58,321.1412665584646,703.05,51786.826,297.3500667748688,31.49356066243136,0,3,7,12,7,2,1,Sim,Não,Negar
10100,35,428.7161141161174,891.29,44626.85346,134.20147774873143,28.028887048651747,2,8,7,24,10,8,20,Sim,Não,Negar
2755,58,327.43772260001464,1425.54,23922.77846,106.62444406665212,27.36804701955533,0,6,6,23,17,3,5,Não,Não,Negar
2859,48,635.3320005206947,1531.49,82390.34847999999,101.9556711357134,36.56735240090501,3,7,9,36,16,10,15,Sim,Não,Negar
5569,20,213.4418952766868,3952.83,13401.16505,102.9013899166425,30.281065658656395,9,7,10,55,15,9,27,Não,Não,Negar
11674,34,566.2454232397872,2027.76,90587.5232,194.72424132564728,33.49929388406164,4,690,5,23,11,8,1262,Não,Não,Negar
5779,31,272.577709460988,1494.99,24567.92149,22.502278615832843,30.76657467109351,6,7,6,61,24,8,34,Não,Não,Negar
8283,33,344.2130978468508,3223.66,19277.98642,46.75131715607824,24.12906820067068,5,10,6,65,23,9,28,Não,Não,Negar
10475,44,203.06940176871944,4902.52,21672.53935,174.9164692044656,35.769153967013814,7,10,7,44,17,11,30,Não,Sim,Negar
7208,34,203.38579155884423,2229.76,22607.43135,193.87708283118985,35.48120553566441,6,9,8,27,15,10,25,Sim,Não,Negar
248,39,291.13405944128976,1369.54,26510.91618,159.7337127624883,31.93186621712452,2,9,8,17,14,11,26,Não,Não,Negar
6272,29,281.3601047216937,2429.89,64257.117750000005,98.10249796986344,32.38599166212772,100,8,6,25,25,11,24,Não,Não,Negar
3995,18,233.48438653657192,2237.99,15477.92935,68.98850232311254,31.10333012695464,8,7,5,53,27,6,34,Não,Não,Negar
840,29,298.923609592445,1593.75,72566.501,101.26285539407726,39.904500456326005,8,10,7,20,24,12,18,Não,Não,Negar
10506,39,119.19785707323555,3323.82,81539.624,509.5946648722014,34.162839563690284,5,10,8,31,25,2153,18,Não,Não,Negar
10552,26,880.339597882611,805.01,117903.80004,247.26830050154769,38.45991103991729,1,5,7,24,13,4,12,Não,Não,Negar
5826,41,378.9729096069313,162.01,106549.17312,488.8251178740666,34.09277141480868,3,3,1116,10,7,0,3,Não,Não,Negar
5911,60,421.9319659573236,224.36,39034.56459,57.64378404267644,37.52111497784222,0,4,1,11,3,1,11,Não,Não,Conceder
5849,35,189.02679858570497,3896.76,25894.91422,123.63699662070528,22.579465175593675,9,6,10,36,15,9,25,Não,Não,Negar
2460,45,98.56396782255824,2446.32,50314.7435,472.88639448188815,32.85721790193901,3,8,10,56,17,12,25,Sim,Não,Negar
10097,31,278.06610785927467,771.16,28337.75189,122.11370899426558,37.81097695323404,3,0,1,10,9,2,6,Não,Não,Conceder
10221,22,367.32187426236936,646.05,33616.946509999994,48.15598873472406,32.83633011717656,3,4,5,13,20,2,7,Não,Não,Negar
